"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"929","Blacksea Odyssey","Jun 1, 2016","$9.99","57% (84%/74%)","19,143 ±4,060","6,081 ±2,288","04:58 (02:15)","Blacksea Odyssey","Spiral Summit Games"
"857","Glitchspace","May 5, 2016","$12.99","41% (77%)","18,917 ±4,036","13,738 ±3,439","01:40 (00:56)","Space Budgie","Space Budgie"
"411","Bunny Hop League","Apr 27, 2017","$5.99","35% (74%)","18,467 ±3,988","16,440 ±3,762","03:03 (02:24)","PolyDigital","PolyDigital"
"286","BloodLust Shadowhunter","Sep 21, 2015","$12.99","45% (79%)","18,242 ±3,963","15,089 ±3,604","09:56 (04:09)","WRF Studios","WRF Studios"
"725","Son of Nor","Apr 27, 2015","$19.99","10% (52%/54%)","18,242 ±3,963","11,711 ±3,175","03:05 (02:35)","stillalive studios","Viva Media"
"748","Night Shift","Feb 23, 2015","$4.99","N/A (N/A)","18,242 ±3,963","10,585 ±3,019","02:22 (02:18)","Brandon Brizzi","Brandon Brizzi"
"828","Fallen: A2P Protocol","Aug 14, 2015","$19.99","3% (35%)","18,017 ±3,939","13,062 ±3,354","05:01 (01:07)","Red Katana","Red Katana"
"688","On My Own","Feb 26, 2016","$4.99","24% (67%)","17,791 ±3,914","5,630 ±2,202","02:18 (00:29)","Chad Close, Kyle Weik","Close Studios, Beach Interactive"
"764","MasterpieceVR","Sep 14, 2017","$29.99","N/A (N/A)","17,791 ±3,914","9,684 ±2,888","01:46 (00:32)","MasterpieceVR",""
"398","UNLOVED","Sep 29, 2016","$3.39","43% (78%)","17,566 ±3,889","13,738 ±3,439","03:39 (01:56)","BlueEagle Productions","Paul Schneider"
"705","Vortex: The Gateway","Mar 22, 2016","$7.99","14% (57%)","17,566 ±3,889","9,909 ±2,921","02:29 (01:22)","StormCube Games","StormCube Games"
"824","LA Cops","Mar 13, 2015","$14.99","19% (62%/45%)","17,566 ±3,889","8,783 ±2,750","01:15 (00:46)","Modern Dream","Team17 Digital Ltd"
"946","Crowman & Wolfboy","Jun 2, 2017","$3.99","N/A (N/A)","17,566 ±3,889","11,711 ±3,175","03:51 (03:33)","Wither Studios","Wither Studios, LLC"
"809","The Hive","Aug 25, 2016","$19.99","26% (68%)","17,341 ±3,864","12,612 ±3,295","03:30 (02:33)","Skydome Entertainment","Skydome Entertainment"
"161","Shift Happens","Feb 22, 2017","$14.99","97% (97%)","17,116 ±3,839","15,990 ±3,711","04:44 (03:18)","Klonk Games","Klonk Games, Deck13, FFF Bayern"
"428","Leap of Fate","Mar 30, 2016","$15.99","82% (92%/80%)","17,116 ±3,839","13,512 ±3,411","05:11 (03:08)","Clever-Plays","Clever-Plays"
"458","Hybrid Animals","Aug 29, 2016","$6.99","21% (64%)","17,116 ±3,839","15,089 ±3,604","03:07 (01:18)","FamishedMammal","Abstract Software Inc."
"555","bit Dungeon+","Mar 22, 2016","$3.99","2% (30%)","17,116 ±3,839","6,306 ±2,330","02:08 (00:22)","KintoGames, Dolores Entertainment","KintoGames, Dolores Entertainment"
"582","TASTEE: Lethal Tactics","May 10, 2016","$14.99","47% (80%)","17,116 ±3,839","12,386 ±3,266","03:30 (01:53)","SkyBox Labs","SkyBox Labs"
"996","SoundStage","Mar 10, 2017","$9.99","86% (93%)","17,116 ±3,839","15,089 ±3,604","01:31 (00:37)","Hard Light Labs","Hard Light Labs"
"304","Maximum Override","Mar 9, 2017","$6.99","32% (72%)","16,891 ±3,814","14,188 ±3,495","02:26 (01:11)","Alientrap","Alientrap"
"501","Galacide","Jul 28, 2015","$6.99","N/A (N/A/76%)","16,891 ±3,814","10,810 ±3,051","03:37 (04:10)","Puny Human","Puny Human"
"558","Children of Orc","Dec 20, 2016","Free","32% (72%)","16,891 ±3,814","8,783 ±2,750","00:56 (00:52)","Game Studio Abraham Stolk Inc.","Game Studio Abraham Stolk Inc."
"1036","Rebirth of Island","Nov 4, 2016","$4.99","N/A (N/A)","16,891 ±3,814","10,134 ±2,954","03:11 (03:24)","Yo_Serjio","Yo_Serjio"
"337","Sky Break","Oct 21, 2016","$9.99","24% (67%)","16,665 ±3,788","14,413 ±3,523","04:47 (02:34)","Farsky Interactive","Farsky Interactive"
"284","Warhammer 40,000: Space Wolf","Sep 21, 2017","$17.99","35% (74%)","16,440 ±3,762","13,062 ±3,354","04:51 (02:17)","Herocraft","Herocraft"
"528","Crazy Pixel Streaker","Jun 7, 2016","$4.99","N/A (N/A)","16,440 ±3,762","6,981 ±2,452","02:31 (02:51)","Lubiterum","Playdius, Plug In Digital"
"830","Nightfall: Escape","Jun 28, 2016","$9.99","N/A (N/A)","16,440 ±3,762","7,207 ±2,491","03:27 (04:10)","Zeenoh, 7 Seals","Zeenoh Inc."
"990","Overfall","May 17, 2016","$14.99","54% (83%/71%)","16,440 ±3,762","13,738 ±3,439","08:43 (04:32)","Pera Games","Pera Games"
"383","Battle Dome","Jun 8, 2017","$4.49","82% (92%)","16,215 ±3,737","13,512 ±3,411","16:35 (01:04)","Bad Bird Studios",""
"967","AoF World Online","Feb 27, 2015","$4.99","N/A (N/A)","16,215 ±3,737","11,486 ±3,145","05:25 (04:44)","NSE Circuit","NSE Circuit"
"414","Paranormal Activity: The Lost Soul","Aug 15, 2017","$39.99","43% (78%)","15,990 ±3,711","14,864 ±3,577","02:42 (01:55)","VRWERX","VRWERX"
"223","Hyper Knights","May 19, 2017","$3.99","82% (92%)","15,764 ±3,684","12,837 ±3,325","03:19 (03:06)","Endless Loop Studios","Endless Loop Studios"
"516","Metal Carnage","Nov 17, 2016","Free","N/A (N/A)","15,764 ±3,684","8,783 ±2,750","00:51 (00:21)","Playvision","Playvision"
"585","Game Tycoon 2","Apr 8, 2016","$14.99","3% (37%)","15,764 ±3,684","11,035 ±3,082","03:54 (02:55)","Sunlight Games","KISS ltd"
"793","Spellsworn","Nov 2, 2015","$9.99","54% (83%)","15,764 ±3,684","9,459 ±2,854","06:19 (03:41)","Frogsong Studios AB","Frogsong Studios AB"
"909","Space Drifters 2D","Mar 28, 2016","$0.99","N/A (N/A)","15,764 ±3,684","9,459 ±2,854","04:24 (04:29)","Matthew Coyle","Matthew Coyle"
"195","Heart&Slash","Aug 9, 2016","$14.99","51% (82%)","15,539 ±3,658","11,711 ±3,175","04:14 (02:27)","AHEARTFULOFGAMES","Badland Games"
"520","Super Chibi Knight","Jun 24, 2015","$2.49","65% (87%)","15,539 ±3,658","12,386 ±3,266","04:27 (03:34)","PestoForce","Armor Games, PestoForce"
"488","Super Trench Attack 2","Nov 6, 2015","$4.99","12% (55%)","15,314 ±3,631","7,657 ±2,568","02:49 (03:15)","Retro Army Limited","Retro Army Limited"
"631","Spectre","Oct 3, 2016","$4.99","N/A (N/A)","15,314 ±3,631","1,576 ±1,165","00:13 (00:23)","Proscenium","Proscenium"
"450","Oil Enterprise","Apr 20, 2016","$3.99","7% (46%)","15,089 ±3,604","14,413 ±3,523","08:48 (04:57)","Crafty Studios","astragon Entertainment GmbH"
"499","BossConstructor","Oct 24, 2016","$14.99","41% (77%)","15,089 ±3,604","13,963 ±3,467","08:54 (05:33)","Mirko Seithe","Mirko Seithe"
"858","Malebolgia","May 6, 2015","$6.49","22% (65%)","15,089 ±3,604","6,531 ±2,371","02:12 (02:52)","Jochen Mistiaen","Jochen Mistiaen"
"351","BalanCity","Sep 21, 2016","$7.99","41% (77%)","14,638 ±3,550","8,107 ±2,642","02:10 (00:32)","Fernando Cordoba",""
"405","Rogue Operatives Hide and Seek","Sep 30, 2016","Free","51% (82%)","14,638 ±3,550","9,684 ±2,888","02:04 (00:55)","SIM720 LIMITED","SIM720 LIMITED"
"444","ACE Academy","Aug 22, 2016","$19.99","95% (96%)","14,638 ±3,550","9,459 ±2,854","11:01 (09:55)","PixelFade Inc","PixelFade Inc"
"581","Home Improvisation: Furniture Sandbox","Jul 28, 2016","$9.99","27% (69%)","14,638 ±3,550","12,612 ±3,295","02:07 (01:03)","The Stork Burnt Down","The Stork Burnt Down"
"206","Warbands: Bushido","Sep 15, 2017","$7.99","37% (75%)","14,413 ±3,523","12,161 ±3,236","10:53 (03:58)","Red Unit Studios","Red Unit Studios"
"652","Into The Gloom","Apr 7, 2015","$2.99","45% (79%)","14,413 ±3,523","7,882 ±2,605","02:46 (03:15)","earrgames","Flying Interactive"
"953","Lift It","Jan 20, 2017","$4.99","N/A (N/A)","14,413 ±3,523","8,783 ±2,750","06:20 (06:39)","89AM Studio","89AM Studio"
"329","Project Explore","Aug 10, 2017","$4.99","37% (75%)","14,188 ±3,495","9,684 ±2,888","01:52 (01:11)","Seabass and Gazelle Studios","Seabass and Gazelle Studios"
"439","Gabe Newell Simulator 2.0","Dec 14, 2015","$3","7% (46%)","13,963 ±3,467","11,260 ±3,114","02:33 (00:47)","Antonio Renna","Antonio Renna"
"621","Rise: Battle Lines","Nov 17, 2015","$5.99","N/A (N/A)","13,963 ±3,467","6,531 ±2,371","01:58 (02:17)","The Secret Games Company","Digital Tribe"
"998","Evolvation","Feb 6, 2017","$9.99","N/A (N/A)","13,963 ±3,467","9,008 ±2,785","03:22 (03:24)","HyperReuts","HyperReuts"
"1028","Commander Cool 2","Dec 17, 2015","$2.99","N/A (N/A)","13,963 ±3,467","10,810 ±3,051","02:46 (03:06)","Orlyapps","Orlyapps"
"307","Pierhead Arcade","Sep 21, 2016","$9.99","92% (95%)","13,738 ±3,439","11,936 ±3,206","02:23 (01:11)","Mechabit Ltd","Mechabit Ltd"
"455","Woodlands","Sep 27, 2017","$6.99","N/A (N/A)","13,738 ±3,439","676 ±762","00:03 (00:02)","Acuze Interactives, Winterbyte","Acuze Interactives"
"619","Apollo4x","May 5, 2015","$9.99","N/A (N/A)","13,738 ±3,439","10,360 ±2,987","03:33 (03:23)","Digital Entertainment","Digital Entertainment"
"698","Party Saboteurs","Oct 20, 2016","$9.99","N/A (N/A)","13,738 ±3,439","8,107 ±2,642","02:11 (02:39)","The Glitch Factory","The Glitch Factory"
"790","Arms Dealer","Mar 26, 2015","$5.99","8% (49%)","13,738 ±3,439","9,233 ±2,820","02:12 (00:44)","Case in Point Studios, LLC","Case in Point Studios, LLC"
"896","Tic-Toc-Tower","Sep 28, 2015","$4.99","N/A (N/A)","13,738 ±3,439","8,783 ±2,750","03:50 (03:53)","Sneaky Mammoth","SOEDESCO Publishing"
"897","NeuroVoider","Aug 31, 2016","$13.99","51% (82%)","13,738 ±3,439","13,062 ±3,354","06:11 (02:55)","Flying Oak Games","Playdius, Plug In Digital"
"972","AoF Chess Club 2.0","Nov 4, 2015","$3.99","N/A (N/A)","13,738 ±3,439","9,909 ±2,921","04:00 (03:36)","NSE Circuit","NSE Circuit"
"291","NEO-NOW!","Aug 24, 2017","$9.99","N/A (N/A)","13,512 ±3,411","6,981 ±2,452","03:16 (03:10)","ma_mutte","ma_mutte"
"703","Catch a Lover","Jul 24, 2017","$6.99","12% (54%)","13,512 ±3,411","11,486 ±3,145","01:37 (00:53)","Toxic Dog","Toxic Dog"
"733","Super Bomb Rush!","Apr 20, 2017","$9.99","N/A (N/A)","13,512 ±3,411","1,351 ±1,078","00:10 (00:15)","Curvature Systems","Curvature Systems"
"861","VolChaos","Dec 8, 2015","$2.99","N/A (N/A)","13,512 ±3,411","8,783 ±2,750","07:15 (05:25)","Fun Infused Games","Fun Infused Games"
"443","The Golf Club VR","Feb 24, 2017","$25.49","71% (89%)","13,287 ±3,382","12,612 ±3,295","03:42 (01:33)","HB Studios","HB Studios"
"505","Sky To Fly: Faster Than Wind","Mar 25, 2016","$3.99","N/A (N/A)","13,287 ±3,382","8,107 ±2,642","03:16 (03:39)","AIVIK LLC","Absolutist Ltd."
"556","HoCWar","Dec 29, 2016","Free","11% (53%)","13,287 ±3,382","5,630 ±2,202","00:37 (00:13)","HoCWar","HoCWar"
"657","A.I. Invasion","Sep 30, 2015","$9.99","N/A (N/A)","13,287 ±3,382","8,558 ±2,714","03:36 (03:57)","GameArt Studio GmbH","GameArt Studio GmbH"
"290","Dog Sled Saga","Sep 22, 2016","$7.99","77% (91%)","13,062 ±3,354","11,035 ±3,082","08:08 (04:11)","Trichotomy","Trichotomy"
"374","Shio","May 4, 2017","$11.99","37% (75%)","13,062 ±3,354","12,386 ±3,266","04:50 (03:06)","Coconut Island Studio","Coconut Island Games"
"502","Steamroll","Feb 19, 2016","$12.99","N/A (N/A)","13,062 ±3,354","6,981 ±2,452","05:38 (02:38)","Anticto","Anticto"
"611","Space Conflict - Legends of Azulgar","Aug 31, 2017","$14.99","N/A (N/A)","13,062 ±3,354","1,351 ±1,078","00:23 (00:29)","Lusorion Creatives","Lusorion Creatives"
"656","Impossiball","Aug 8, 2017","$1.99","N/A (N/A)","13,062 ±3,354","10,360 ±2,987","02:55 (03:06)","Dark Duo Games","Dark Duo Games"
"1034","Demented","Nov 18, 2015","Free","N/A (N/A)","13,062 ±3,354","450 ±622","00:03 (00:01)","VisualTech48","Intercido"
"355","Looterkings","Aug 11, 2017","$17.99","65% (87%)","12,837 ±3,325","11,035 ±3,082","06:01 (02:56)","Looterkings","HeadUp Games"
"373","Backstage Pass","Aug 22, 2016","$29.99","77% (91%)","12,837 ±3,325","11,486 ±3,145","12:28 (09:27)","sakevisual","sakevisual"
"485","Beyond Sol","Oct 13, 2015","$9.99","49% (81%/83%)","12,837 ±3,325","9,459 ±2,854","13:46 (09:52)","Praxia Entertainment Inc","Praxia Entertainment Inc"
"506","Run Rabbit Run","Mar 31, 2016","$3.99","N/A (N/A)","12,837 ±3,325","7,882 ±2,605","02:57 (02:31)","FLAT12","Absolutist Ltd."
"801","VR: Vacate the Room","Jul 15, 2016","$4.99","71% (89%)","12,837 ±3,325","11,486 ±3,145","01:50 (01:18)","hOSHI","hOSHI"
"984","I Shall Remain","Aug 24, 2015","$9.99","26% (68%)","12,837 ±3,325","4,729 ±2,018","04:29 (09:33)","Scorpius Games","Scorpius Games"
"271","Overkill VR: Action Shooter FPS","Mar 10, 2017","$19.99","54% (83%)","12,612 ±3,295","11,260 ±3,114","05:23 (01:07)","Starloop Studios","Game Troopers"
"335","Earth Space Colonies","Jul 1, 2016","$9.99","8% (48%)","12,612 ±3,295","9,459 ±2,854","03:32 (02:04)","Persona and Pixel studio","Persona and Pixel studio"
"540","FPV Air Tracks","May 23, 2016","Free","3% (35%)","12,612 ±3,295","9,008 ±2,785","00:19 (00:12)","Flyleap Studios","Flyleap Studios"
"674","Disposable Heroes","Mar 22, 2016","$0.49","N/A (N/A)","12,612 ±3,295","6,531 ±2,371","02:49 (02:47)","Ben Aprigliano","Evilized productions"
"724","8Bit Fiesta","Sep 30, 2016","$7.99","89% (94%)","12,612 ±3,295","10,585 ±3,019","03:25 (03:10)","Linus Fredriksson","Frozen Dev"
"227","Deep Fear","Aug 11, 2017","$0.99","17% (61%)","12,386 ±3,266","7,882 ±2,605","02:20 (02:27)","Alexey Glinskiy","Alexey Glinskiy"
"431","Major\Minor - Complete Edition","Oct 11, 2016","$19.99","49% (81%)","12,386 ±3,266","7,207 ±2,491","08:23 (03:49)","Klace","Tall Tail Studios"
"481","Masterspace","Jun 15, 2015","$13.99","1% (27%)","12,386 ±3,266","4,729 ±2,018","05:13 (02:15)","Master Technologies","Mastertech"
"468","Time Machine VR","May 19, 2016","$29.99","21% (64%/58%)","12,161 ±3,236","11,035 ±3,082","02:27 (00:53)","Minority Media Inc.","Minority Media Inc."
"510","Cubic complex","Mar 13, 2017","$0.99","N/A (N/A)","12,161 ±3,236","1,351 ±1,078","01:20 (02:35)","Kedexa","Kedexa"
"1008","Demons with Shotguns","Apr 25, 2016","$9.99","N/A (N/A)","12,161 ±3,236","7,207 ±2,491","02:02 (02:24)","MindShaft Games, LLC","MindShaft Games, LLC"
"332","Pixel Gladiator","Sep 8, 2017","$4.99","N/A (N/A)","11,936 ±3,206","6,981 ±2,452","02:43 (03:04)","Durbek","Xitilon"
"794","Vernon's Legacy","Sep 23, 2016","$11.99","7% (47%)","11,936 ±3,206","6,531 ±2,371","04:11 (02:46)","TripleBrick","TripleBrick"
"442","Box Maze","Mar 3, 2017","$0.49","N/A (N/A)","11,711 ±3,175","8,783 ±2,750","03:06 (03:21)","GamersHype Productions","GamersHype Productions"
"491","Hyper Box","Mar 16, 2016","$2.99","N/A (N/A)","11,711 ±3,175","1,126 ±984","00:25 (00:32)","Pixelated Cupcake","Pixelated Cupcake"
"612","ALONE?","Oct 10, 2016","$2","6% (44%)","11,711 ±3,175","8,558 ±2,714","02:51 (02:12)","Deceptive Games Ltd.","Deceptive Games Ltd."
"899","Door To Door","Aug 2, 2016","$4.99","N/A (N/A)","11,711 ±3,175","4,729 ±2,018","04:01 (03:41)","CD Jones","CD Jones"
"294","Siralim 2","Aug 12, 2016","$14.99","89% (94%)","11,486 ±3,145","10,134 ±2,954","32:23 (20:57)","Thylacine Studios","Thylacine Studios LLC"
"453","Kelvin and the Infamous Machine","Jul 21, 2016","$14.99","86% (93%/79%)","11,486 ±3,145","7,657 ±2,568","06:47 (03:34)","Blyts","Blyts"
"650","CO-OP : Decrypted","Aug 17, 2015","$9.99","N/A (N/A)","11,486 ±3,145","2,702 ±1,525","01:53 (00:39)","Pixelz Games","Pixelz Games"
"719","Wave of Darkness","Nov 5, 2015","$29.99","N/A (N/A)","11,486 ±3,145","6,306 ±2,330","04:04 (04:20)","Dreamatrix","Dreamatrix"
"886","MinosMaze - The Minotaur's Labyrinth","May 1, 2017","$4.99","N/A (N/A)","11,486 ±3,145","6,756 ±2,412","02:54 (02:57)","RuVe Game Studio","RuVe Game Studio"
"250","Unexplored","Feb 22, 2017","$9.99","95% (96%)","11,260 ±3,114","10,360 ±2,987","06:59 (03:53)","Ludomotion","Ludomotion"
"350","The Sandbox Evolution - Craft a 2D Pixel Universe!","Nov 15, 2016","$4.99","30% (71%)","11,260 ±3,114","9,459 ±2,854","03:32 (01:56)","PIXOWL INC.","PIXOWL INC."
"762","Johnny GravesThe Unchosen One","Apr 6, 2017","$4.99","N/A (N/A)","11,260 ±3,114","676 ±762","00:12 (00:10)","Stupid Stupid Games","Stupid Stupid Games"
"875","Castaway Paradise - Town Building Sim","May 19, 2015","$14.99","54% (83%)","11,260 ±3,114","10,360 ±2,987","24:04 (03:18)","Stolen Couch Games","Stolen Couch Games"
"970","O3DX","Jan 22, 2016","$7.99","N/A (N/A)","11,260 ±3,114","8,558 ±2,714","05:15 (03:23)","Egamea Game Studios","Egamea Game Studios"
"992","Bullshot","Nov 22, 2016","$4.99","37% (75%)","11,260 ±3,114","7,882 ±2,605","02:01 (00:51)","Gato Salvaje S.L.","Gato Salvaje S.L."
"1010","Evolution","Jun 6, 2016","Free","N/A (N/A)","11,260 ±3,114","6,081 ±2,288","03:19 (02:32)","Alex Williams","Grubby Monster Games"
"1032","TRON RUN/r","Feb 16, 2016","$19.99","45% (79%)","11,260 ±3,114","7,432 ±2,530","01:43 (01:16)","Sanzaru Games Inc.","Disney Interactive"
"368","Stars in Shadow","Jan 19, 2017","$24.99","45% (79%/75%)","11,035 ±3,082","9,233 ±2,820","14:04 (04:53)","Ashdar Games","Iceberg Interactive"
"375","Boundel: The Second Era","Nov 14, 2016","Free","19% (62%)","11,035 ±3,082","8,558 ±2,714","02:45 (02:08)","Eren Aydın","Eren Aydın"
"951","Gon' E-Choo!","Nov 25, 2015","$1.99","65% (87%)","11,035 ±3,082","7,432 ±2,530","03:49 (03:43)","Marc Ellis","Marc Ellis"
"487","Discouraged Workers","Sep 16, 2015","$14.99","N/A (N/A)","10,810 ±3,051","7,432 ±2,530","04:35 (05:54)","YGGDRASIL STUDIO","YGGDRASIL STUDIO"
"606","A.I. Space Corps","Feb 5, 2016","$4.99","N/A (N/A)","10,810 ±3,051","450 ±622","02:13 (01:28)","GameArt Studio GmbH","GameArt Studio GmbH"
"833","Fasaria World: Browser MO","Feb 22, 2015","$2.99","N/A (N/A)","10,810 ±3,051","6,981 ±2,452","02:58 (03:25)","","NSE CIRCUIT"
"918","Disgraced","Nov 18, 2016","$9.99","N/A (N/A)","10,810 ±3,051","8,333 ±2,678","03:55 (03:07)","Corrosive Studios LLC","Corrosive Studios LLC"
"395","Kimulator : Fight for your destiny","Aug 11, 2016","$1.99","16% (60%)","10,585 ±3,019","8,558 ±2,714","03:18 (03:12)","Bmc Studio","Bmc Studio"
"538","Store Manager: Cellular Edition","Mar 31, 2017","$6.99","N/A (N/A)","10,585 ±3,019","1,351 ±1,078","00:47 (01:00)","Vue Simulations",""
"642","Operation Caucasus","Mar 16, 2016","Free","N/A (N/A)","10,585 ±3,019","1,126 ±984","00:11 (00:12)","Dream Games","Dream Games"
"673","Zotrix - Solar Division","Apr 20, 2016","$14.99","N/A (N/A)","10,585 ±3,019","7,657 ±2,568","05:35 (05:49)","ZeroBit Games","Ocean Media LLC"
"772","Shiness: The Lightning Kingdom","Apr 18, 2017","$29.99","35% (74%/68%)","10,585 ±3,019","6,306 ±2,330","05:37 (02:35)","Enigami","Focus Home Interactive"
"844","The Mims Beginning","May 18, 2016","$16.99","20% (63%)","10,585 ±3,019","8,107 ±2,642","03:46 (01:36)","Squatting Penguins","Squatting Penguins"
"921","Neon Arena","Feb 20, 2017","$4.99","N/A (N/A)","10,585 ±3,019","5,630 ±2,202","03:20 (02:56)","Axyos Games","Axyos Games"
"247","Downward","Jul 13, 2017","$6.99","51% (82%/77%)","10,360 ±2,987","7,432 ±2,530","02:46 (01:39)","Caracal Games","IndieGala"
"525","Wonky Pigeon!","Nov 26, 2015","$4.99","N/A (N/A)","10,360 ±2,987","1,576 ±1,165","00:03 (00:03)","Carlotta Tatti","Carlotta Tatti"
"592","50 years","May 26, 2017","$4.99","74% (90%)","10,360 ±2,987","6,531 ±2,371","02:48 (02:07)","Aleksandr Golovkin","Aleksandr Golovkin"
"627","Factory Engineer","Mar 20, 2017","$9.99","12% (54%)","10,360 ±2,987","8,107 ±2,642","03:24 (02:12)","Mind Leak","Mind Leak"
"775","Junk Jack","Nov 30, 2016","$14.99","54% (83%)","10,360 ±2,987","10,134 ±2,954","07:27 (06:02)","Pixbits","Pixbits"
"986","Wild Season","Dec 7, 2015","$16.99","3% (35%)","10,360 ±2,987","4,279 ±1,919","03:46 (04:25)","Quickfire Games","Quickfire Games"
"219","Stable Orbit","Sep 27, 2017","$10.04","33% (73%)","10,134 ±2,954","6,981 ±2,452","02:21 (01:48)","Codalyn","Green Man Gaming Publishing"
"554","Rencounter","Nov 4, 2016","$5.99","28% (70%)","10,134 ±2,954","5,630 ±2,202","02:12 (02:22)","SPVD","GrabTheGames"
"704","Space Food Truck","Mar 25, 2016","$9.99","32% (72%)","10,134 ±2,954","9,008 ±2,785","12:40 (06:21)","One Man Left Studios","One Man Left Studios"
"837","Eador. Imperium","Jan 27, 2017","$19.99","54% (83%)","10,134 ±2,954","6,981 ±2,452","12:24 (04:27)","Snowbird Games","Snowbird Games"
"898","Mad Nords: Probably an Epic Quest","Dec 2, 2016","$2.99","N/A (N/A)","10,134 ±2,954","3,378 ±1,705","03:56 (04:44)","Dragon's Games","Dragon's Games"
"932","Frizzy","Dec 23, 2015","$2.99","N/A (N/A)","10,134 ±2,954","901 ±880","00:14 (00:17)","Team Frizz","Team Frizz"
"358","Mass Exodus","May 4, 2017","$6.99","65% (87%)","9,909 ±2,921","8,333 ±2,678","01:48 (01:28)","Polymerse","Polymerse"
"363","Shaolin vs Wutang","May 9, 2016","$12.99","89% (94%)","9,909 ±2,921","8,107 ±2,642","03:42 (00:33)","Jae Lee","Digital Tribe"
"713","bob's game","Feb 21, 2017","Free","N/A (N/A)","9,909 ±2,921","901 ±880","00:15 (00:18)","Robert Pelloni","Bob Corporation"
"740","Reflection of Mine","Feb 24, 2017","$7.99","N/A (N/A)","9,909 ±2,921","6,081 ±2,288","05:22 (05:07)","Redblack Spade","Redblack Spade"
"745","Abode","Dec 1, 2016","$9.99","95% (96%)","9,909 ±2,921","5,630 ±2,202","01:36 (01:05)","Overflow","Overflow"
"754","The Fleets of Sol","Apr 1, 2016","$8.99","N/A (N/A)","9,909 ±2,921","2,928 ±1,587","01:45 (02:23)","Bit Planet Games, LLC","Bit Planet Games, LLC"
"233","BALLOON Saga","Aug 18, 2017","$0.99","51% (82%)","9,684 ±2,888","6,981 ±2,452","08:46 (01:26)","Alexey Glinskiy","Alexey Glinskiy"
"376","Quarantine","May 24, 2017","$9.99","20% (63%)","9,459 ±2,854","6,981 ±2,452","01:56 (01:09)","Sproing","505 Games"
"388","Conflicks - Revolutionary Space Battles","Nov 5, 2015","$6.99","57% (84%/63%)","9,459 ±2,854","7,207 ±2,491","03:10 (01:01)","Artifice Studio","Artifice Studio"
"486","Space Rogue","Sep 15, 2016","$9.99","24% (67%)","9,459 ±2,854","7,882 ±2,605","09:27 (06:17)","Red Beat","Red Beat"
"684","Battle Chess: Game of Kings","Dec 11, 2015","$29.99","8% (48%)","9,459 ±2,854","8,783 ±2,750","21:05 (02:09)","Olde Sküül, Sculptured Software","Interplay Entertainment Corp."
"811","Rad Rodgers: World One","Dec 1, 2016","$11.99","N/A (N/A/72%)","9,459 ±2,854","4,279 ±1,919","01:23 (01:26)","Interceptor Entertainment","3D Realms, THQ Nordic"
"931","Magical Brickout","Oct 17, 2016","$7.99","N/A (N/A)","9,459 ±2,854","6,531 ±2,371","03:10 (03:32)","Cunning Force Games","Cunning Force Games"
"274","Bullet Sorrow VR","Apr 17, 2017","$19.99","74% (90%)","9,233 ±2,820","8,333 ±2,678","05:28 (01:39)","VikingVRStudio","VikingVRStudio"
"288","Air Missions: HIND","Jun 14, 2017","$16.99","57% (84%)","9,233 ±2,820","7,657 ±2,568","07:14 (03:09)","3Division","3Division"
"434","Titans of Space 2.0","May 23, 2016","$7.99","77% (91%)","9,233 ±2,820","7,882 ±2,605","01:57 (00:37)","DrashVR LLC","DrashVR LLC"
"753","Broken Bots","Jun 8, 2016","$6.99","N/A (N/A)","9,233 ±2,820","6,081 ±2,288","03:22 (03:48)","Bunnycopter","Bunnycopter"
"900","Zavix Tower","Jul 21, 2016","$9.99","32% (72%)","9,233 ±2,820","6,981 ±2,452","12:55 (07:15)","Batholith Entertainment","Indie Voyage"
"369","Orion Trail","Oct 12, 2015","$7.99","30% (71%)","9,008 ±2,785","6,981 ±2,452","02:46 (01:53)","Schell Games","Schell Games"
"433","Sovereignty: Crown of Kings","Feb 2, 2017","$24.99","15% (58%)","9,008 ±2,785","8,783 ±2,750","14:46 (06:30)","Gothic Labs, The Lordz Games Studio","Slitherine Ltd."
"827","DICETINY: The Lord of the Dice","Jul 21, 2016","Free","22% (65%)","9,008 ±2,785","8,107 ±2,642","04:35 (02:23)","Fakedice","Fakedice"
"851","Dawn of Andromeda","May 4, 2017","$29.99","21% (64%/70%)","9,008 ±2,785","8,558 ±2,714","04:15 (03:31)","Grey Wolf Entertainment","Iceberg Interactive"
"222","Chime Sharp","Jul 19, 2016","$9.99","N/A (N/A/85%)","8,783 ±2,750","4,054 ±1,868","06:48 (06:33)","Ste Curran, Twistplay","Chilled Mouse"
"229","Doom & Destiny Advanced","Nov 15, 2016","$9.99","86% (93%)","8,783 ±2,750","6,081 ±2,288","09:04 (06:34)","Heartbit Interactive","Heartbit Interactive"
"541","Spellgear","Apr 7, 2017","Free","23% (66%)","8,783 ±2,750","5,405 ±2,157","00:57 (00:23)","SkyRiver Studios","SkyRiver Studios"
"602","Fleeting Ages","May 2, 2016","$1.99","N/A (N/A)","8,783 ±2,750","450 ±622","02:06 (01:23)","R&G Software","R&G Software"
"623","Empires Of Creation","Nov 20, 2015","$4.99","N/A (N/A)","8,783 ±2,750","4,955 ±2,065","04:30 (04:05)","Bundle Of Sticks Studios",""
